door_id,family,outcome,traversal_success,raw_goal_success,vertical_applicable,native_spatial_supported,simulator_error,isolated_retry,elapsed_sim_s,review_url
db0001_rollup,rollup,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0001_rollup
db0002_swing_single,swing_single,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0002_swing_single
db0003_cold_storage,cold_storage,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0003_cold_storage
db0004_bifold,bifold,robot_fell,False,False,True,True,,False,11.992,https://adamraudonis.github.io/DoorBench/#/review?door=db0004_bifold
db0005_garage_tiltup,garage_tiltup,goal_not_reached_before_timeout,False,False,True,False,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0005_garage_tiltup
db0006_gate_swing,gate_swing,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0006_gate_swing
db0007_sliding_single,sliding_single,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0007_sliding_single
db0008_sliding_bypass,sliding_bypass,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0008_sliding_bypass
db0009_bifold,bifold,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0009_bifold
db0010_swing_double,swing_double,success,True,True,True,True,,False,7.768,https://adamraudonis.github.io/DoorBench/#/review?door=db0010_swing_double
db0011_automatic_swing,automatic_swing,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0011_automatic_swing
db0012_swing_single,swing_single,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0012_swing_single
db0013_swing_single,swing_single,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0013_swing_single
db0014_gate_swing,gate_swing,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0014_gate_swing
db0015_swing_double,swing_double,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0015_swing_double
db0016_swing_single,swing_single,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0016_swing_single
db0017_hatch_ceiling,hatch_ceiling,not_upright_doorway,False,True,False,True,,False,8.852,https://adamraudonis.github.io/DoorBench/#/review?door=db0017_hatch_ceiling
db0018_sliding_single,sliding_single,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0018_sliding_single
db0019_swing_double,swing_double,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0019_swing_double
db0020_sliding_bypass,sliding_bypass,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0020_sliding_bypass
db0021_swing_single,swing_single,robot_fell,False,False,True,True,,False,5.42,https://adamraudonis.github.io/DoorBench/#/review?door=db0021_swing_single
db0022_swing_single,swing_single,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0022_swing_single
db0023_sliding_single,sliding_single,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0023_sliding_single
db0024_swing_single,swing_single,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0024_swing_single
db0025_swing_double,swing_double,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0025_swing_double
db0026_swing_single,swing_single,goal_without_valid_crossing,False,True,True,True,,False,8.972,https://adamraudonis.github.io/DoorBench/#/review?door=db0026_swing_single
db0027_swing_single,swing_single,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0027_swing_single
db0028_swing_single,swing_single,goal_without_valid_crossing,False,True,True,True,,False,8.442,https://adamraudonis.github.io/DoorBench/#/review?door=db0028_swing_single
db0029_sliding_single,sliding_single,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0029_sliding_single
db0030_bifold,bifold,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0030_bifold
db0031_saloon,saloon,success,True,True,True,True,,False,10.202,https://adamraudonis.github.io/DoorBench/#/review?door=db0031_saloon
db0032_sliding_single,sliding_single,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0032_sliding_single
db0033_gate_sliding,gate_sliding,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0033_gate_sliding
db0034_gate_swing,gate_swing,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0034_gate_swing
db0035_swing_single,swing_single,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0035_swing_single
db0036_swing_single,swing_single,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0036_swing_single
db0037_strip_curtain,strip_curtain,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0037_strip_curtain
db0038_sliding_single,sliding_single,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0038_sliding_single
db0039_swing_single,swing_single,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0039_swing_single
db0040_swing_single,swing_single,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0040_swing_single
db0041_sliding_single,sliding_single,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0041_sliding_single
db0042_sliding_bypass,sliding_bypass,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0042_sliding_bypass
db0043_bifold,bifold,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0043_bifold
db0044_pivot,pivot,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0044_pivot
db0046_sliding_bypass,sliding_bypass,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0046_sliding_bypass
db0047_swing_double,swing_double,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0047_swing_double
db0048_swing_single,swing_single,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0048_swing_single
db0049_swing_double,swing_double,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0049_swing_double
db0050_swing_single,swing_single,goal_not_reached_before_timeout,False,False,True,True,,False,16.0,https://adamraudonis.github.io/DoorBench/#/review?door=db0050_swing_single
